unit,category,use,translation,item,subcategory,value,date,source
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1660.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1661.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1662.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",1423.0,1663.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",762.0,1664.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1665.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1666.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1667.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",2.0,1668.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1669.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1670.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1671.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1672.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1673.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1674.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1675.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1676.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1677.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1678.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",20.0,1679.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1680.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",40.0,1681.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1682.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1683.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1684.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1685.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1686.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1687.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1688.0,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1640.0,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",1680.0,1641.0,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1642.0,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",,1643.0,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",116.0,1644.0,
Stück (Piece),Meat,,thrush,Drußeln [Droßelln],"Bird, wild",345.0,1645.0,
