"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"145","salted cod",NA,"Fish","Fish","","Stof (Fluids)",NA,NA,NA,NA,NA,-0.0700140042,NA,-1.33026608,NA,NA,1.050210063,NA,0.350070021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.33333333",88,0,NA,"497",NA,NA,"565","1169","1793",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"1305","289",NA,NA,NA,"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","sardines",NA,"Fish","Fish","","Stück (Piece)",0.002520213232,-0.1335713013,-0.2847840952,-0.3301479333,NA,NA,NA,-0.7157405578,NA,-0.6401341608,NA,NA,-0.7081799181,2.505091952,NA,NA,NA,NA,NA,NA,NA,NA,0.304945801,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.125",52,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA,NA,0,NA,NA,NA,"","3648",NA,NA,NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","small pickled fish",NA,"Fish","Fish","","Stof (Fluids)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68.11111111",288,1,NA,"5280",NA,NA,"4032","3576","504",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,288,NA,NA,NA,"1188","",NA,NA,NA,"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","smoked fish",NA,"Fish","Fish","","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.75",96,0,NA,"15480",NA,NA,"390","4080","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"9180","",NA,NA,NA,"750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","spiced gudgeon",NA,"Fish","Fish","","Stück (Piece)",-0.4996560027,NA,NA,-0.4542327297,NA,NA,NA,NA,NA,1.498968008,NA,NA,-0.5450792757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.125",95,0,NA,"143",NA,NA,"","66","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"34","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","sturgeon",NA,"Fish","Fish","","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.142857143",47,1,NA,"1",NA,NA,"","","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"3","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","tench",NA,"Fish","Fish","","Stof (Fluids)",-0.03171724167,-0.5541188692,-0.2406778927,0.1772434093,NA,NA,NA,-1.024280334,-0.9459200898,1.248166746,0.04664300245,-0.8414397643,0.02052292108,-0.475758625,-0.893679927,NA,NA,NA,NA,NA,NA,NA,0.9869659319,NA,2.528050733,NA,NA,NA,NA,NA,NA,NA,"8.142857143",51,1,NA,"1",NA,NA,"","266","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","turbot",NA,"Fish","Fish","","Stück (Piece)",1.378597266,0.6621349656,1.041438536,0.9150040127,NA,NA,NA,-0.9182965784,-0.6022102696,-0.8761517372,-0.6022102696,NA,-0.3493412225,-0.5600654284,-0.7181085828,-0.6654275313,-0.6759637416,NA,NA,NA,NA,NA,0.4566788649,NA,2.369001033,NA,NA,NA,NA,NA,-0.8550793166,NA,"2",4,1,NA,"",NA,NA,"1","","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"1","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","various small fish",NA,"Fish","Fish","","Stof (Fluids)",-0.812308478,0.6026804837,1.47525701,0.555514185,NA,NA,NA,-1.09530627,NA,0.5083478862,0.885678276,NA,-1.09530627,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.024556822,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.625",44,0,NA,"96",NA,NA,"132","156","340",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","vimba bream",NA,"Fish","Fish","","Stück (Piece)",NA,NA,NA,-0.7071067812,NA,NA,NA,NA,NA,NA,NA,NA,0.7071067812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.142857143",2,1,NA,"20",NA,NA,"","","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Wels catfish",NA,"Fish","Fish","","Stück (Piece)",0.9585467629,0.5975534029,0.5674706229,1.650450703,NA,NA,NA,-1.162289228,NA,0.4170567228,0.08614614275,NA,0.3568911628,-1.177330618,NA,NA,NA,NA,NA,NA,NA,NA,-1.147247838,NA,-1.147247838,NA,NA,NA,NA,NA,NA,NA,"2.142857143",8,1,NA,"",NA,NA,"","","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
